name;search_name;address;zipcode;city;country_code;type
Steam Hotel;;Ångkraftsvägen 14;72131;Västerås;SE;4
Västmanlands teater;;Slottsgatan 11;72211;Västerås;SE;8
Mimerscenen;;Fiskartorget;72212;Västerås;SE;5
Västerås Kongress;;Munkgatan 7;72212;Västerås;SE;4
O'Learys;O Learys;Stora Torget 2;72215;Västerås;SE;3
Västerås Domkyrka;;Västra kyrkogatan 6;72215;Västerås;SE;7
Västerås Arena;;Vasagatan 89;72223;Västerås;SE;6
Westerqwarn Pub & Restaurang;Westerqwarn Pub och Restaurang;Västerkvarnsvägen 4;73493;Kolbäck;SE;10
Thor Modéen Teatern;Thor Modeen Teatern;Drottninggatan 19;73631;Kungsör;SE;8
Mimerlavsområdet Norberg;;Gamla Banan 6;73833;Norberg;SE;5
Älvängs natur & kulturhus;Älvängs natur och kulturhus;Östa byväg 30;74045;Tärnsjö;SE;4
Knivsta CIK;;Parkvägen 31 A;74175;Knivsta;SE;4
Kvarngården;;Kvarngården;74190;Knivsta;SE;4
Strandhotellet i Öregrund;;Västergatan 1;74242;Öregrund;SE;4
Café Bredsjön;Cafe Bredsjön;Salavägen 16;74496;Järlåsa;SE;10
Skuggans Café;Skuggans Cafe;Långtora 11;74596;Enköping;SE;10
Håbo festdag;;Centrumgränd 10;74632;Bålsta;SE;5
Ottarsborgs Folkpark;;Ottarsborg 105;74895;Örbyhus;SE;5
Kesuddens Hantverksbryggeri;;Ågatan 15 c;74935;Enköping;SE;4
Kompassen;;Kaptensgatan 4;74935;Enköping;SE;4
Gamla Bion;;Uppsalavägen 11;74961;Örsundsbro;SE;4
Uppsala konstmuseum;;Drottning Christinas väg 1E;75237;Uppsala;SE;4
Polacksbacken;;Lägerhyddsvägen 2;75237;Uppsala;SE;5
Parksnäckan;;Stadsträdgården;75309;Uppsala;SE;5
Slottsbiografen;;Nedre Slottsgatan 6;75309;Uppsala;SE;4
The Social Bar & Bistro;The Social Bar och Bistro;Dragarbrunnsgatan 23;75320;Uppsala;SE;10
Katalin;;Roslagsgatan 1;75327;Uppsala;SE;3
Fyrishov;;Idrottsgatan 2;75333;Uppsala;SE;6
Kultur vid Ekoln;;Sandavägen 3;75653;Uppsala;SE;4
Restaurang Kärleksudden;;Villagatan 2;76140;Norrtälje;SE;10
Pythagoras Industrimuseum;;Verkstadsgatan 6;76143;Norrtälje;SE;4
Mobergs Nattklubb;;Vilhelm Mobergs gata 2;76146;Norrtälje;SE;3
Imperiet;;Baldersgatan 16;76150;Norrtälje;SE;4
Edsbro Bygdegård;;Edsbro Bruksgata 27;76298;Edsbro;SE;4
M A Z E;MAZE;Storgatan 9;77130;Ludvika;SE;10
Folkets Hus;;Carlavägen 24;77134;Ludvika;SE;4
Folkets park Limedsforsen;;Limedsforsen 123;78064;Lima;SE;5
Sälens Högfjällshotell;;Sälens Högfjällshotell;78067;Sälen;SE;4
Orrskogens Folkets Park ;;Parkvägen 1;78231;Malung;SE;5
Cozmoz Arena;;Engelbrektsgatan 34;78432;Borlänge;SE;4
Äteriet;;Hantverksbyn 1;78433;Borlänge;SE;10
Maximteatern;;Tunagatan 42;78433;Borlänge;SE;8
5mans bryggeri;;Mästargatan 11;78440;Borlänge;SE;4
Broken Dreams Auditorium;;Tungatan 1;78445;Borlänge;SE;4
Ängsholns Folkpark;;Ängsholsvägen 30;78530;Gagnef;SE;5
Vansbro Live;;Järnavägen 14;78633;Vansbro;SE;5
Dalarnas museum;;Stigaregatan 2-4;79160;Falun;SE;4
Sveasalen;;Sveagatan 14;79330;Leksand;SE;4
Centralteatern;;Södra Centralgatan 10;80250;Gävle;SE;8
Jerntorget;;Hyttgatan;81139;Sandviken;SE;5
Göransson Arena;;Arenavägen 4;81161;Sandviken;SE;6
Ovansjö kyrka;;Ovansjövägen 229;81240;Kungsgården;SE;7
Torsåker Bluegrass Festival;;Solbergaleden 28;81340;Torsåker;SE;5
Bergmans Fisk;;Havsvägen 38;81730;Norrsundet;SE;10
Stenegård, Järvsö;;Stenegård 4;82040;Järvsö;SE;4
Staffansgården;;Furugatan 1;82060;Delsbo;SE;4
Travrestaurangen Bollnäs.;;Edsbyvägen 131;82130;Bollnäs;SE;10
Långnäs Parken Bollnäs;;Långnäsvägen 51;82142;Bollnäs;SE;5
Kulturhuset Bollnäs;;Collinigatan 12;82143;Bollnäs;SE;4
Rehngården;;Varpnäsvägen 2;82150;Bollnäs;SE;10
Bolagsgården;;Lövvik 9156;82167;Undersvik;SE;4
Linbageriet;;Krangatan 1B;82230;Alfta;SE;10
Forsparken;;Forsparksvägen 31;82231;Alfta;SE;5
Biografteater;;Stationsgatan 11;82330;Kilafors;SE;8
Hudiksvalls teater;;Västra Tullgatan 28;82430;Hudiksvall;SE;8
Rådhusparken;;Marknadsgatan;82430;Hudiksvall;SE;5
Köpmanberget fest & event;Köpmanberget fest och event;Köpmanbergsvägen 10A;82450;Hudiksvall;SE;4
Iggesund Folkets hus;;Centralgatan 3;82530;Iggesund;SE;4
Mössöns Visfestival;;Mössön;82592;Njutånger;SE;5
Östra Berget;;Östra Bergsgatan;82632;Söderhamn;SE;5
DansPlats Skog;;Kallbäcksvägen 25;82669;Stråtjära;SE;5
Slottescenen;;Slottescenen;82734;Ljusdal;SE;8
Järvsö Kyrka;;Kyrkvägen 15;82751;Järvsö;SE;7
Storsjöteatern;;Stortorget 7;83130;Östersund;SE;8
Restaurang Marité;Restaurang Marite;Sjötorget 3;83130;Östersund;SE;10
Östersunds Sporthall;;Samuel Permans Gata 14;83141;Östersund;SE;6
Folkets Hus;;Krondikesvägen 93;83146;Östersund;SE;4
Östersund Arena;;Arenavägen 27;83191;Östersund;SE;6
Allaktivtetshuset Saga;;Storgatan 15;83324;Strömsund;SE;4
Strömsunds Hembygdsgård;;Hembygdsgården 1003;83333;Strömsund;SE;4
Tornvallen Fyrås;;Fyrås;83348;Hammerdal;SE;4
Hissmofors Folkets Hus;;Folkets Hus vägen 16;83533;Krokom;SE;4
Holiday Club;;Åre Strand;83752;Åre;SE;4
Viskansparken;;Boda 288;84013;Torpshammar;SE;5
Funäsdalens kyrka;;Berggatan 23;84095;Funäsdalen;SE;7
Herrö Trötänga;;Herrö 318;84294;Sveg;SE;5
Lillhärdals Solberga Fotbollsplan;;Solbergavägen 9;84295;Lillhärdal;SE;5
Centralen;;Casinoparken 1;85229;Sundsvall;SE;5
Club Deströyer;;Esplanaden 29;85236;Sundsvall;SE;4
Hedbergska Aulan;;Skolhusallén 6;85237;Sundsvall;SE;4
Gropen;;Hultom;87011;Hemsön;SE;5
Mannaminne;;Häggvik 109;87030;Nordingrå;SE;4
Mellanholmen;;Storgatan 11;87131;Härnösand;SE;5
Västernorrlands Museum;;Murbergsvägen 31;87150;Härnösand;SE;4
Svanö Folkets Hus;;Svanövägen 33;87293;Lunde;SE;4
Sollefteå Stadspark;;Sollefteå;88131;Sollefteå;SE;5
Prästnipans festplats;;Nipvägen;88170;Näsåker;SE;5
Lundgrens Loge;;Nordsjö 204;88291;Långsele;SE;5
Folkan Teater;;Lasarettsgatan 26;89132;Örnsköldsvik;SE;8
Nöjesbolaget;;Köpmangatan 9;89133;Örnsköldsvik;SE;4
Allstar;;Strandgatan 21;89133;Örnsköldsvik;SE;10
Ljungarocken;;Folketshusvägen 1;89198;Ljungaverk;SE;5
Herrgårdsflygelns trädgård;;Herrgårdsvägen 3;89340;Köpmanholmen;SE;5
Nolaskolans Aula;;Viktoriaesplanaden 31;89135;Örnsköldsvik;SE;4
Aula Nordica;;Universums Gränd 4;90187;Umeå;SE;4
Cinco Umeå;;Renmarkstorget 5;90326;Umeå;SE;3
Väven;;Storgatan 46A;90326;Umeå;SE;4
Umeå Folkets Hus;;Skolgatan 59;90329;Umeå;SE;4
Allstar Umeå;;Skolgatan 59;90329;Umeå;SE;10
Västra Paviljongen;;Skolgatan 67A;90329;Umeå;SE;3
Droskan;;Storgatan 60;90330;Umeå;SE;3
Tegs kyrka;;Jägarvägen 16;90420;Umeå;SE;7
Ersboda Folkets Hus;;Byttgränd 13;90627;Umeå;SE;4
Åsele Kyrka;;Centralgatan 53;91060;Åsele;SE;7
Vännäsdagarna Festivalområde;;Oskarsparken;91131;Vännäs;SE;5
Olofsfors Bruk i Hyttan;;91471;91471;Nordmaling;SE;4
Holmögården;;Holmö Byaväg;91803;Holmön;SE;5
Medborgarhuset Lycksele;;Norra Torggatan 14;92131;Lycksele;SE;4
Sjungaregården;;Blå vägen 109;92295;Granö;SE;4
Nordanåteatern;;Nordanå Kulturcentrum;93133;Skellefteå;SE;8
Norrvalla IP;;Mullbergsvägen 11A;93137;Skellefteå;SE;5
Medleforsparken;;Medleforsparken;93144;Skellefteå;SE;5
Hotell Laponia;;Storgatan 45;93333;arvidsjaur;SE;4
Restaurang Kamvägen 7;;Kamvägen 7;93731;Burträsk;SE;10
Christinasalen;;Olof Palmes gata 2;94133;Piteå;SE;8
Piteå Dansar Och Ler;;Stadsberget Piteå;94156;Piteå;SE;5
Logen Käcktjärn;;Älvsbyvägen 376;94191;Bölebyn;SE;5
Forum Älvsbyn;;Medborgargatan 2;94233;älvsbyn;SE;4
Kalix Folkets Hus;;Köpmannagatan 25;95221;Kalix;SE;4
Flakasand;;Räktjärv;95293;Kalix;SE;5
Seskarö Folkets Hus;;Fridhemsvägen 16;95394;Seskarö;SE;4
Råneå - församlingshemmets innergård;;Västerlångvägen 6;95532;Råneå;SE;5
Saga Biografen Boden;;Drottninggatan 4;96135;Boden;SE;8
Bodens Energi Arena;;Flygfältsvägen 31;96143;Boden;SE;6
Jokkmokks hembygdsgård;;Lappstavägen;96231;Jokkmokk;SE;5
Folkets Hus;;Föreningsgatan;96232;Jokkmokk;SE;4
Jokkmokk, Aja, Sparbankssalen;;962 32;96232;Jokkmokk;SE;4
Bio Norden;;Porjusvägen 8;96232;Jokkmokk;SE;4
Lärkans Aula;;Storgatan 3;97238;Luleå;SE;4
Luleå Energi Arena;;Bastugatan 6;97241;Luleå;SE;6
Aurora kultur & kongress;Aurora kultur och kongress;Stadshustorget;98185;Kiruna;SE;4
Gällivare Folkets Hus;;Hantverkaregatan 5-7;98231;Gällivare;SE;4
Saltoluokta folkmusikfestival;;Saltoluokta Fjällstation;98299;Gällivare;SE;5
Kalles Festivaltält;;Sundsgatan 35;94132;Piteå;SE;5
Christinae kyrka;;Västra Kyrkogatan 1;44130;Alingsås;SE;7
Nårunga kyrka;;Nårunga kyrka;44194;Alingsås;SE;7
Stockslyckekyrkan;;Arkitektvägen 10;44150;Alingsås;SE;7
Alnö gamla kyrka;;Alnövägen 85A;86591;Alnö;SE;7
Alnö nya kyrka;;Alnövägen 76;86591;Alnö;SE;7
Alunda kyrka;;Prästgårdsvägen 18;74730;Alunda;SE;7
Anderslövs församlingshem;;Polis Karlssons gata 2;23170;Anderslöv;SE;4
Arbrå kyrka;;Kyrkbyn 4930;82010;Arbrå;SE;7
